Scientific_Name,en_uk,fr,es,nl,no,ar,da,de,it,ja,ko,pl,pt,pt_br,ru,sv,th,tr,uk,zh
Abroscopus albogularis,Rufous-faced Warbler,Bouscarle à moustaches,Mosquitero Carirrufo,Roodwangboszanger,rustmaskesanger,Rufous-faced Warbler,Rufous-faced Warbler,Rostwangen-Dickichtsänger,Rufous-faced Warbler,コシジロムシクイ,Rufous-faced Warbler,skrytoczub rdzawolicy,Rufous-faced warbler,Rufous-Faced Warbler,Рыжещёкая комарница,Rostkindad cettia,นกกระจ้อยคอดำ,Kızıl Yüzlü Ötleğen,Війчик рудощокий,棕脸鹟莺
Abroscopus schisticeps,Black-faced Warbler,Bouscarle à face noire,Mosquitero Carinegro,Zwartmaskerboszanger,svartmaskesanger,Black-faced Warbler,Black-faced Warbler,Schieferkopf-Dickichtsänger,Black-faced Warbler,カオグロムシクイ,Black-faced Warbler,skrytoczub ciemnolicy,Black-faced warbler,Black-Faced Warbler,Чернолицая комарница,Svartkindad cettia,Black-faced Warbler,Siyah Yüzlü Ötleğen,Війчик чорнощокий,黑脸鹟莺
Abroscopus superciliaris,Yellow-bellied Warbler,Bouscarle à sourcils blancs,Mosquitero Cejiblanco,Bamboeboszanger,hvitbrynsanger,Yellow-bellied Warbler,Yellow-bellied Warbler,Bambusdickichtsänger,Yellow-bellied Warbler,マミジロムシクイ,Yellow-bellied Warbler,skrytoczub białobrewy,Yellow-bellied warbler,Yellow-Bellied Warbler,Желтобрюхая комарница,Gulbukig cettia,นกกระจ้อยคอขาว,Sarı Karınlı Ötleğen,Війчик білобровий,黄腹鹟莺
Aburria aburri,Wattled Guan,Pénélope aburri,Pava Aburria,Lelgoean,gulflikhokko,Wattled Guan,Wattled Guan,Lappenguan,Wattled Guan,ニクダレシャクケイ,Wattled Guan,grdacz soplowaty,Wattled guan,Wattled Guan,Серёжчатый гуан,Flikguan,Wattled Guan,Küpeli Guan,Абурі,肉垂冠雉
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Méliphage à bavette,Mielero Golicanelo,Goudkeelhoningeter,rosennebbhonningeter,Spiny-cheeked Honeyeater,Spiny-cheeked Honeyeater,Braunkehl-Honigfresser,Spiny-cheeked Honeyeater,ケミミミツスイ,Spiny-cheeked Honeyeater,kolcoliczek,Spiny-cheeked honeyeater,Spiny-Cheeked Honeyeater,Розовоклювый серёжкоух,Rosanäbbad honungsfågel,Spiny-cheeked Honeyeater,Diken Yanaklı Balkuşu,Медолюб-дзвіночок,刺颊垂蜜鸟
Acanthidops bairdi,Peg-billed Finch,Bec-en-cheville gris,Yal Costarricense,Wigsnavelgors,spissnebbspurv,Peg-billed Finch,Peg-billed Finch,Vulkanammertangare,Peg-billed Finch,ハシナガシトド,Peg-billed Finch,bambusozięb ostrodzioby,Peg-billed finch,Peg-Billed Finch,Остроклювый овсяночник,Spetsnäbbad tangara,Peg-billed Finch,Sivri Gagalı İspinoz,Шиферка гостродзьоба,尖嘴雀鹀
Acanthis cabaret,Lesser Redpoll,Sizerin cabaret,Pardillo Alpino,Kleine Barmsijs,brunsisik,Lesser Redpoll,Lille Gråsisken,Alpenbirkenzeisig,Organetto minore,イメベニヒワ,Lesser Redpoll,czeczotka brązowa,Lesser Redpoll,Lesser Redpoll,Малая чечётка,Brunsiska,Lesser Redpoll,Küçük Huş İsketesi,Чечітка мала,Lesser Redpoll
Acanthis flammea,Common Redpoll,Sizerin flammé,Pardillo Norteño,Grote Barmsijs,gråsisik,Common Redpoll,Stor Gråsisken,Taigabirkenzeisig,Organetto,ベニヒワ,홍방울새,czeczotka,Pintarroxo-de-queixo-preto,Pintarroxo-De-Queixo-Preto,Обыкновенная чечётка,Gråsiska,Common Redpoll,Huş İsketesi,Чечітка звичайна,白腰朱顶雀
Acanthis hornemanni,Arctic Redpoll,Sizerin blanchâtre,Pardillo Ártico,Witstuitbarmsijs,polarsisik,Hoary Redpoll,Hvidsisken,Polarbirkenzeisig,Hoary Redpoll,コベニヒワ,쇠홍방울새,czeczotka tundrowa,Hoary Redpoll,Hoary Redpoll,Пепельная чечётка,Snösiska,Hoary Redpoll,Kutup İsketesi,Чечітка біла,Hoary Redpoll
Acanthisitta chloris,Rifleman,Xénique grimpeur,Acantisita Verdoso,Geweervogel,skogklatresmett,Rifleman,Rifleman,Grünstummelschwanz,Rifleman,ミドリイワサザイ,Rifleman,barglik,Rifleman,Rifleman,Зелёный стрелок,Klättersmyg,Rifleman,Nişancı,Стрілець,刺鹩
Acanthiza apicalis,Inland Thornbill,Acanthize troglodyte,Acantiza Apical,Roodstuitdoornsnavel,krattornsmett,Inland Thornbill,Inland Thornbill,Stelzschwanz-Dornschnabel,Inland Thornbill,ヒロオトゲハシムシクイ,Inland Thornbill,buszówka szerokosterna,Inland thornbill,Inland Thornbill,Пестрогрудая шипоклювка,Inlandstaggnäbb,Inland Thornbill,Al Gözlü Dikengaga,Шиподзьоб широкохвостий,宽尾刺嘴莺
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Acanthize à croupion jaune,Acantiza Culigualda,Geelstuitdoornsnavel,gulgumptornsmett,Yellow-rumped Thornbill,Yellow-rumped Thornbill,Gelbbürzel-Dornschnabel,Yellow-rumped Thornbill,コモントゲハシムシクイ,Yellow-rumped Thornbill,buszówka żółtorzytna,Yellow-rumped thornbill,Yellow-Rumped Thornbill,Желтопоясничная шипоклювка,Gulgumpad taggnäbb,Yellow-rumped Thornbill,Sarı Belli Dikengaga,Шиподзьоб жовтогузий,黄尾刺嘴莺
Acanthiza ewingii,Tasmanian Thornbill,Acanthize de Tasmanie,Acantiza de Tasmania,Tasmaanse Doornsnavel,tasmantornsmett,Tasmanian Thornbill,Tasmanian Thornbill,Tasmandornschnabel,Tasmanian Thornbill,タスマニアトゲハシムシクイ,Tasmanian Thornbill,buszówka rdzawoczelna,Tasmanian thornbill,Tasmanian Thornbill,Тасманийская шипоклювка,Tasmantaggnäbb,Tasmanian Thornbill,Tasmanya Dikengagası,Шиподзьоб тасманійський,塔岛刺嘴莺
Acanthiza inornata,Western Thornbill,Acanthize sobre,Acantiza Sencilla,Kaap-Leeuwindoornsnavel,vesttornsmett,Western Thornbill,Western Thornbill,Walddornschnabel,Western Thornbill,ニシトゲハシムシクイ,Western Thornbill,buszówka uboga,Western thornbill,Western Thornbill,Лесная шипоклювка,Västlig taggnäbb,Western Thornbill,Batılı Boz Dikengaga,Шиподзьоб лісовий,西刺嘴莺
